Order,Family,sp_count,fam
Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",246,Accipitridae
Accipitriformes,Cathartidae (New World Vultures),7,Cathartidae
Accipitriformes,Pandionidae (Osprey),1,Pandionidae
Accipitriformes,Sagittariidae (Secretary-bird),1,Sagittariidae
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",164,Anatidae
Anseriformes,Anhimidae (Screamers),3,Anhimidae
Anseriformes,Anseranatidae (Magpie Goose),1,Anseranatidae
Apterygiformes,Apterygidae (Kiwis),5,Apterygidae
Bucerotiformes,Bucerotidae (Hornbills),59,Bucerotidae
Bucerotiformes,Bucorvidae (Ground-Hornbills),2,Bucorvidae
Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitar-bills),8,Phoeniculidae
Bucerotiformes,Upupidae (Hoopoes),2,Upupidae
Caprimulgiformes,Aegothelidae (Owlet-nightjars),10,Aegothelidae
Caprimulgiformes,Apodidae (Swifts),105,Apodidae
Caprimulgiformes,Caprimulgidae (Nightjars and Allies),98,Caprimulgidae
Caprimulgiformes,Hemiprocnidae (Treeswifts),4,Hemiprocnidae
Caprimulgiformes,Nyctibiidae (Potoos),7,Nyctibiidae
Caprimulgiformes,Podargidae (Frogmouths),15,Podargidae
Caprimulgiformes,Steatornithidae (Oilbird),1,Steatornithidae
Caprimulgiformes,Trochilidae (Hummingbirds),343,Trochilidae
Cariamiformes,Cariamidae (Seriemas),2,Cariamidae
Casuariiformes,Casuariidae (Cassowaries and Emu),4,Casuariidae
Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",25,Alcidae
Charadriiformes,Burhinidae (Thick-knees),10,Burhinidae
Charadriiformes,Charadriidae (Plovers and Lapwings),67,Charadriidae
Charadriiformes,Chionidae (Sheathbills),2,Chionidae
Charadriiformes,Dromadidae (Crab Plover),1,Dromadidae
Charadriiformes,Glareolidae (Pratincoles and Coursers),17,Glareolidae
Charadriiformes,Haematopodidae (Oystercatchers),12,Haematopodidae
Charadriiformes,Ibidorhynchidae (Ibisbill),1,Ibidorhynchidae
Charadriiformes,Jacanidae (Jacanas),8,Jacanidae
Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",99,Laridae
Charadriiformes,Pedionomidae (Plains-wanderer),1,Pedionomidae
Charadriiformes,Pluvianellidae (Magellanic Plover),1,Pluvianellidae
Charadriiformes,Pluvianidae (Egyptian Plover),1,Pluvianidae
Charadriiformes,Recurvirostridae (Stilts and Avocets),9,Recurvirostridae
Charadriiformes,Rostratulidae (Painted-Snipes),3,Rostratulidae
Charadriiformes,Scolopacidae (Sandpipers and Allies),97,Scolopacidae
Charadriiformes,Stercorariidae (Skuas and Jaegers),7,Stercorariidae
Charadriiformes,Thinocoridae (Seedsnipes),4,Thinocoridae
Charadriiformes,Turnicidae (Buttonquail),16,Turnicidae
Ciconiiformes,Ciconiidae (Storks),19,Ciconiidae
Coliiformes,Coliidae (Mousebirds),6,Coliidae
Columbiformes,Columbidae (Pigeons and Doves),338,Columbidae
Coraciiformes,Alcedinidae (Kingfishers),117,Alcedinidae
Coraciiformes,Brachypteraciidae (Ground-Rollers),5,Brachypteraciidae
